代碼,商品,股本,產業,產業地位
1101,台泥,605.81,上市水泥,台灣最大水泥廠
1102,亞泥,336.74,上市水泥,台灣第二大水泥廠
1103,嘉泥,77.48,上市水泥,轉型為水泥通路貿易商
1104,環泥,65.36,上市水泥,台灣最大石膏板供應商
1108,幸福,40.47,上市水泥,台灣第三大水泥廠，本業發展轉向大陸河北水泥廠
1109,信大,34.20,上市水泥,銷售市場以台北、宜蘭、基隆、桃園等為主
1110,東泥,57.20,上市水泥,台灣中南部市場水泥供應商
1201,味全,50.61,上市食品,老牌綜合食品大廠
1203,味王,24.00,上市食品,亞洲第一大味精品牌，並生產方便麵等食品
1210,大成,82.73,上市食品,兩岸最大白肉雞電宰加工廠及飼料大廠
1213,大飲,5.66,上市食品,產品以蘋果西打為主
1215,卜蜂,26.80,上市食品,台灣第二大白肉雞供應商及飼料大廠
1216,統一,568.20,上市食品,台灣食品業龍頭廠之一
1217,愛之味,49.45,上市食品,以飲料、傳統類罐頭為主的食品商
1218,泰山,50.00,上市食品,台灣油脂、飲料大廠及轉投資全家便利超商
1219,福壽,32.20,上市食品,台灣第二大麻油生產商及最大的寵物飼料廠
1220,台榮,17.71,上市食品,台灣知名果糖大廠，並生產飼料及水產品
1225,福懋油,21.87,上市食品,台灣油脂、飼料大廠
1227,佳格,91.51,上市食品,台灣最大穀物營養品與油品供應商
1229,聯華,128.15,上市食品,神達集團母公司，台灣最大麵粉廠
1231,聯華食,18.33,上市食品,台灣休閒食品大廠，並供應7-11鮮食產品
1232,大統益,16.00,上市食品,亞洲最大黃豆油煉製廠商
1233,天仁,9.06,上市食品,台灣知名茶葉廠商並轉投資喫茶趣
1234,黑松,40.19,上市食品,主要從事黑松品牌飲料製造及酒品代理
1235,興泰,10.44,上市食品,生產畜產及水產類飼料之廠商
1236,宏亞,10.83,上市食品,旗下七七巧克力與禮坊喜餅為知名品牌
1240,茂生農經,3.50,上櫃農業科技業,家禽家畜飼料、大宗原料供應商
1256,鮮活果汁-KY,3.38,上市食品,大陸最大原料型濃縮果汁、果粉、果粒供應商
1258,其祥-KY,3.68,上櫃食品,新加坡雞肉肉品市場主要供應商
1259,安心,3.24,上櫃觀光,東元旗下，以摩斯為速食餐飲連鎖品牌
1264,德麥,3.37,上櫃食品,台灣最大烘焙原物料供應商
1268,漢來美食,3.77,上櫃觀光,創始於高雄，為南台灣餐飲龍頭
1301,台塑,636.57,上市塑膠,台灣最大塑化集團，亞洲最大PVC生產商
1303,南亞,793.08,上市塑膠,全球最大的塑膠加工廠、第四大EG廠
1304,台聚,118.88,上市塑膠,台灣第二大PE廠
1305,華夏,55.34,上市塑膠,台灣第二大PVC廠，轉投資台氯
1307,三芳,39.78,上市塑膠,全球最大的合成皮生產商
1308,亞聚,58.21,上市塑膠,台灣第三大PE廠
1309,台達化,34.42,上市塑膠,台灣第三大PS廠
1310,台苯,52.79,上市塑膠,台灣第三大SM廠
1312,國喬,90.66,上市塑膠,台灣第二大SM及ABS廠
1313,聯成,133.23,上市塑膠,兩岸最大的可塑劑及苯酐製造商
1314,中石化,328.49,上市塑膠,台灣第一大CPL廠
1315,達新,13.86,上市塑膠,台灣知名的衣櫥及雨衣生產商
1316,上曜,17.98,上市建材營造,主要經營PU合成皮樹脂及營建業務
1319,東陽,59.15,上市汽車,全球第一大汽車AM塑膠件製造商
1321,大洋,22.72,上市塑膠,台灣第三大PVC廠，並有資產開發題材
1323,永裕,9.13,上市塑膠,台灣知名的塑膠瓶及軟管製造商
1324,地球,7.51,上市塑膠,台灣主要PVC膠帶供應商
1325,恆大,8.53,上市塑膠,台灣最大的紡結不織布生產廠
1326,台化,586.12,上市塑膠,台灣最大的PTA廠
1336,台翰,7.71,"上櫃電子全部,上櫃電子零組件",公司主要為日系大廠Brother的模具供應商
1337,再生-KY,26.90,上市塑膠,大陸第一大EVA發泡材商
1338,廣華-KY,8.38,上市汽車,汽車OEM塑膠內飾件大廠，供應以大陸市場為主
1339,昭輝,7.41,上市汽車,台灣第二大汽車AM塑膠件製造商
1340,勝悅-KY,15.29,上市塑膠,為鞋底及EVO鞋材生產商
1341,富林-KY,4.94,上市塑膠,越南第一大PVC人造皮革生產商
1342,八貫,6.78,上市其他,台灣機能性皮布?及薄膜製造商
1402,遠東新,535.29,上市紡織纖維,全球前五大聚酯製造商，集團轉投資橫跨領域廣
1409,新纖,161.84,上市紡織纖維,台灣知名化纖廠，為新光集團成員
1410,南染,6.30,上市紡織纖維,台灣專業的染整廠
1413,宏洲,13.21,上市紡織纖維,聚酯粒、聚酯絲與加工絲一貫廠
1414,東和,22.00,上市紡織纖維,棉混紡紗大廠
1416,廣豐,18.53,上市其他,橫跨建設及大宗物資業務，主要開發案位於桃園八德
1417,嘉裕,18.99,上市紡織纖維,裕隆集團旗下台灣知名的男性西服供應商
1418,東華,5.68,上市紡織纖維,台灣老牌的亞克力棉製造商
1419,新紡,30.00,上市紡織纖維,平織布生產商，為新光集團成員，士林三寶之一
1423,利華,13.84,上市紡織纖維,台灣第一大的專業毛條生產商
1432,大魯閣,7.50,上市貿易百貨,經營型娛樂購物中心事業
1434,福懋,168.47,上市紡織纖維,台灣最大的輪胎簾布製造商，為台塑集團成員
1435,中福,13.98,上市其他,主要從事倉儲廠房租賃業務，並發展酒類銷售及水耕蔬菜等事業
1436,華友聯,9.56,上市建材營造,轉型為以市地重劃為主的建商
1437,勤益控,20.34,上市其他,轉型為投資控股公司
1438,三地開發,5.12,上市建材營造,轉型營建業，開發桃園地區房產為主
1439,中和,9.20,上市紡織纖維,台灣知名的毛條供應商
1440,南紡,165.68,上市紡織纖維,台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心
1441,大東,10.08,上市紡織纖維,台灣主要棉紡生產企業
1442,名軒,36.62,上市建材營造,麗寶建設集團旗下成員
1443,立益,13.53,上市其他,轉型為物流業及經營房地產
1444,力麗,95.73,上市紡織纖維,台灣聚酯加工絲龍頭廠
1445,大宇,13.07,上市紡織纖維,台灣專業的織布廠
1446,宏和,13.77,上市紡織纖維,台灣知名的長短纖布廠
1447,力鵬,91.45,上市紡織纖維,台灣第一大尼龍粒廠，為力麗集團成員
1449,佳和,8.81,上市紡織纖維,佳和集團旗下子公司，以生產織布為主
1451,年興,19.80,上市紡織纖維,全球最大的牛仔成衣廠
1452,宏益,13.26,上市紡織纖維,台灣專業的加工絲一貫廠
1453,大將,10.06,上市建材營造,主要經營營建開發及紡織買賣
1454,台富,12.98,上市紡織纖維,台灣加工絲、織布一貫廠
1455,集盛,53.17,上市紡織纖維,台灣第三大尼龍粒廠商及第四大聚酯加工絲廠商
1456,怡華,9.37,上市建材營造,元邦集團旗下，為綜合性紡織廠及營建商
1457,宜進,30.16,上市紡織纖維,台灣前五大加工絲廠之一
1459,聯發,35.86,上市紡織纖維,台灣十大聚酯加工絲廠之一
1460,宏遠,50.98,上市紡織纖維,遠東集團旗下，是一家長短織一貫布廠
1463,強盛,17.33,上市紡織纖維,台灣專業的染整廠之一
1464,得力,38.46,上市紡織纖維,台灣老牌織染一貫化布廠
1465,偉全,10.36,上市紡織纖維,台灣專業的長纖布廠
1466,聚隆,11.12,上市紡織纖維,台灣第二大的尼龍加工絲廠
1467,南緯,23.36,上市紡織纖維,為品牌大廠代工及與Wal-mart合作的成衣廠
1468,昶和,16.04,上市紡織纖維,尼龍長織布廠
1470,大統新創,8.58,上市紡織纖維,台灣知名的染整廠，並跨足機能布
1471,首利,15.04,"上市電子全部,上市電子零組件",台灣專攻Clone市場PC用的電源供應器與機殼廠
1472,三洋紡,8.61,上市紡織纖維,亞洲PP纖維製造商龍頭
1473,台南,14.72,上市紡織纖維,台灣前三大成衣製造商，在大陸有Tony wear自有品牌
1474,弘裕,12.99,上市紡織纖維,台灣最大的工業用布廠
1475,業旺,2.60,上市紡織纖維,台灣提花織物的領導商
1476,儒鴻,27.44,上市紡織纖維,台灣最大針織布及第二大成衣代工廠
1477,聚陽,24.19,上市紡織纖維,全球第五大、台灣第一大成衣代工廠
1503,士電,52.10,上市電機機械,屬仰德集團，本業以電機相關產品為主，為士林三寶之一
1504,東元,213.88,上市電機機械,台灣老牌家電廠，並轉型多角化經營
1506,正道,16.35,上市電機機械,台灣知名活塞與汽車鍛件製造商
1507,永大,41.08,上市電機機械,台灣最大電梯製造商
1512,瑞利,23.67,上市汽車,為台灣汽車鈑金製造大廠
1513,中興電,47.61,上市電機機械,台灣知名重電及機電工程廠商
1514,亞力,21.75,上市電機機械,生產配電盤、電力變壓器為主的電機公司
1515,力山,18.15,上市電機機械,台灣知名健身器材代工廠
1516,川飛,3.44,上市其他,主營生媒交易與廢棄物代處理業務
1517,利奇,22.78,上市電機機械,供應全球自行車剎車器，OEM市佔率二成之大廠
1519,華城,26.11,上市電機機械,生產電力變壓器為主之重電廠
1521,大億,7.62,上市汽車,台灣最大OEM車燈製造商
1522,堤維西,31.29,上市汽車,專攻AM市場之台灣第二大車燈製造商
1524,耿鼎,16.53,上市汽車,為汽車AM鈑金件製造商
1525,江申,7.34,上市汽車,台灣最大商用車底盤與車身製造商
1526,日馳,6.00,上市電機機械,全球前三大自行車變速器製造商
1527,鑽全,13.86,上市電機機械,台灣最大的氣動手工具機ODM廠
1528,恩德,19.93,上市電機機械,台灣生產PCB鑽孔機、成型機與木工機械廠商
1529,樂士,9.60,上市電機機械,生產配電盤、變比器為主之電機廠
1530,亞崴,9.66,上市電機機械,台灣知名CNC加工機及龍門機製造商
1531,高林股,18.36,上市電機機械,全球前三大工業用縫紉機製造商
1532,勤美,37.61,上市電機機械,台灣鑄鐵龍頭廠之一，並轉投資營建地產
1533,車王電,9.85,上市汽車,主攻AM車用電子零組件之大廠
1535,中宇,12.37,上市電機機械,中鋼旗下環保工程廠
1536,和大,27.95,上市汽車,台灣最大、全球前十大車廠之傳動零組件供應商
1537,廣隆,8.24,上市電機機械,鉛酸蓄電池專業製造商
1538,正峰,2.64,上市電機機械,以生產電動工具機、汽車燈具為主的廠商
1539,巨庭,6.54,上市電機機械,台灣木工具機製造廠
1540,喬福,8.55,上市電機機械,客製化工具機生產廠商，核心產品為切削中心機
1541,錩泰,7.88,上市電機機械,主要代工生產圓鋸機、線鋸機等桌上型木工機廠商
1558,伸興,6.05,上市電機機械,全球最大家用縫紉機ODM廠，主要客戶為Singer
1560,中砂,14.15,上市電機機械,台灣從事砂輪及再生晶圓生產製造廠商
1565,精華,5.04,上櫃生技醫療,亞洲第一大，全球第五大隱形眼鏡製造廠
1568,倉佑,10.31,上市汽車,為汽車自動變速箱零組件製造商
1569,濱川,12.07,"上櫃電子全部,上櫃電腦及週邊設備",全球NB鍵盤支架最大供應商
1570,力肯,5.15,上櫃電機機械,台灣氣動釘槍製造廠商
1580,新麥,5.02,上櫃電機機械,全球前6大烘焙設備商
1582,信錦,12.37,"上市電子全部,上市電子零組件",全球最大監視器軸承及底座廠商
1583,程泰,11.04,上市電機機械,台灣規模最大的CNC車床製造商，並轉投資亞崴
1584,精剛,12.25,上櫃其他,榮剛旗下合金鋼廠
1586,和勤,8.42,上櫃電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠
1587,吉茂,6.54,上市汽車,台灣最大汽車水箱製造廠
1589,永冠-KY,11.06,上市電機機械,全球知名的金屬二次加工廠商
