代號,名稱,交易次數,平均最大報酬率,勝率,交易檔數
700B1,兆豐-中壢,35,50.73,100,10
5856,統一-台中,34,25.17,85,10
815A,台新-高雄,84,21.14,77,17
6012,奔亞-網路,98,19.99,78,15
779U1,國票-長城,88,18.89,80,14
884E,玉山-城中,42,17.47,90,13
1480,美商高盛,107,13.59,88,31
8450,康和,30,13.42,93,11
5852,統一-敦南,80,12.47,84,12
9A9E,永豐金-板橋,53,11.86,79,11
8440,摩根大通,511,11.19,77,205
9623,富邦-台北,94,11.18,73,24
9300,華南永昌,63,11.16,49,16
8840,玉山,70,11.1,66,13
9655,富邦-板橋,34,11,79,10
6162,中國信託-忠孝,46,10.99,83,11
1360,港商麥格理,116,10.86,84,19
116G,日盛-景美,27,10.66,67,10
9A9U,永豐金-中正,67,10.61,81,13
700V,兆豐-新竹,44,10.2,50,10
980K,元大-竹科,48,10,67,20
1650,新加坡商瑞銀,221,9.9,77,49
6160,中國信託,129,9.82,72,26
9217,凱基-松山,61,9.41,79,21
1380,台灣匯立,203,9.37,72,31
9291,凱基-大安,90,9.3,64,15
1520,瑞士信貸,190,9.21,85,57
700A1,兆豐-忠孝,70,9.19,71,12
8560,新光,189,9.19,71,45
601D1,奔亞-鑫豐,89,8.94,78,24
