"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"2330","台積電","2,931,267","康和-澎湖: 1177 										 										統一-台中: 5919 										 										港商麥格理: 1097441 										 										國票-長城: 16480 										 										永豐金-板橋: 7548 										 										凱基-松山: 9657 										 										(牛牛牛)亞-鑫豐: 40288 										 										台灣匯立證券: 3412758","兆豐-中壢: -7321 										 										玉山-城中: -16330 										 										美商高盛: -680094 										 										瑞士信貸: -177271 										 										統一-敦南: -17875 										 										中國信託-忠孝: -5856 										 										永豐金-中正: -1225 										 										富邦-板橋: -15143 										 										(牛牛牛)亞-網路: -2845 										 										台新-高雄: -16923 										 										摩根大通: -176522 										 										新加坡商瑞銀: -443894 										 										富邦-台北: -42237 										 										中國信託-嘉義: -2802 										 										兆豐-忠孝: -10902 										 										新光-新竹: -5339 										 										日盛-景美: -10622 										 										元大-竹科: -6605 										 										玉山-雙和: -17531 										 										凱基-大安: -2664","3","10","1"
"2609","陽明","1,999,067","美商高盛: 937089 										 										瑞士信貸: 342951 										 										永豐金-中正: 11498 										 										凱基-松山: 248131 										 										摩根大通: 726068 										 										新加坡商瑞銀: 111679 										 										中國信託-嘉義: 1560 										 										日盛-景美: 10681","兆豐-中壢: -3752 										 										康和-澎湖: -11921 										 										玉山-城中: -37002 										 										統一-台中: -26093 										 										統一-敦南: -30049 										 										中國信託-忠孝: -48543 										 										國票-長城: -4382 										 										永豐金-板橋: -10269 										 										富邦-板橋: -4100 										 										(牛牛牛)亞-網路: -2030 										 										(牛牛牛)亞-鑫豐: -55313 										 										台新-高雄: -31819 										 										富邦-台北: -43426 										 										兆豐-忠孝: -31134 										 										新光-新竹: -2007 										 										元大-竹科: -36745 										 										玉山-雙和: -9831 										 										凱基-大安: -2174","2","-1","-3"
"2603","長榮","1,645,124","康和-澎湖: 2314 										 										玉山-城中: 21289 										 										美商高盛: 849501 										 										港商麥格理: 191766 										 										永豐金-中正: 2455 										 										永豐金-板橋: 18639 										 										富邦-板橋: 1911 										 										凱基-松山: 4153 										 										(牛牛牛)亞-網路: 9982 										 										(牛牛牛)亞-鑫豐: 57315 										 										摩根大通: 2157868 										 										中國信託-嘉義: 5825 										 										台灣匯立證券: 4833 										 										兆豐-忠孝: 9262 										 										玉山-雙和: 4868 										 										凱基-大安: 2601","兆豐-中壢: -2333 										 										統一-台中: -2656 										 										瑞士信貸: -1159074 										 										統一-敦南: -5279 										 										中國信託-忠孝: -35786 										 										國票-長城: -3038 										 										台新-高雄: -14374 										 										新加坡商瑞銀: -290453 										 										富邦-台北: -46979 										 										新光-新竹: -7439 										 										日盛-景美: -4630 										 										元大-竹科: -127417","2","-5","3"
"2615","萬海","1,358,864","玉山-城中: 5225 										 										美商高盛: 415992 										 										港商麥格理: 11694 										 										中國信託-忠孝: 1519 										 										國票-長城: 1691 										 										永豐金-板橋: 4928 										 										凱基-松山: 741002 										 										摩根大通: 550993 										 										新加坡商瑞銀: 48900 										 										新光-新竹: 17535 										 										日盛-景美: 11030 										 										元大-竹科: 55037","統一-台中: -1780 										 										瑞士信貸: -109774 										 										統一-敦南: -4572 										 										富邦-板橋: -3114 										 										(牛牛牛)亞-鑫豐: -21292 										 										台新-高雄: -3469 										 										富邦-台北: -22655 										 										台灣匯立證券: -330477 										 										兆豐-忠孝: -1996 										 										凱基-大安: -7553","1","0","-1"
"2454","聯發科","1,076,309","港商麥格理: 437900 										 										中國信託-忠孝: 1982 										 										永豐金-中正: 1754 										 										永豐金-板橋: 976 										 										凱基-松山: 7078 										 										台新-高雄: 2079 										 										台灣匯立證券: 933636 										 										日盛-景美: 2022 										 										元大-竹科: 3984","兆豐-中壢: -990 										 										玉山-城中: -1911 										 										美商高盛: -36556 										 										統一-台中: -2014 										 										瑞士信貸: -88078 										 										統一-敦南: -1048 										 										富邦-板橋: -1876 										 										摩根大通: -25326 										 										新加坡商瑞銀: -138308 										 										富邦-台北: -9158 										 										兆豐-忠孝: -6890 										 										玉山-雙和: -2947","1","-2","1"
"2327","國巨","885,275","兆豐-中壢: 574 										 										美商高盛: 226128 										 										統一-台中: 8257 										 										瑞士信貸: 85352 										 										凱基-松山: 1488 										 										摩根大通: 401760 										 										新加坡商瑞銀: 274366 										 										富邦-台北: 14683","康和-澎湖: -1174 										 										玉山-城中: -11408 										 										統一-敦南: -4141 										 										中國信託-忠孝: -5165 										 										永豐金-中正: -4624 										 										國票-長城: -52820 										 										永豐金-板橋: -2082 										 										富邦-板橋: -5941 										 										(牛牛牛)亞-網路: -481 										 										(牛牛牛)亞-鑫豐: -3871 										 										台新-高雄: -6148 										 										中國信託-嘉義: -1539 										 										台灣匯立證券: -3458 										 										兆豐-忠孝: -9265 										 										新光-新竹: -4079 										 										日盛-景美: -6699 										 										元大-竹科: -2106 										 										凱基-大安: -2332","1","1","1"
"2308","台達電","650,691","康和-澎湖: 301 										 										美商高盛: 102827 										 										永豐金-中正: 2133 										 										國票-長城: 51435 										 										富邦-板橋: 1139 										 										摩根大通: 170868 										 										新加坡商瑞銀: 143302 										 										中國信託-嘉義: 608 										 										台灣匯立證券: 400939","玉山-城中: -2122 										 										瑞士信貸: -198164 										 										港商麥格理: -13339 										 										富邦-台北: -2960 										 										日盛-景美: -4494 										 										玉山-雙和: -1782","3","2","3"
"2303","聯電","574,934","瑞士信貸: 196488 										 										港商麥格理: 69361 										 										凱基-松山: 3083 										 										摩根大通: 369913 										 										新加坡商瑞銀: 331037 										 										兆豐-忠孝: 28172","兆豐-中壢: -846 										 										玉山-城中: -10253 										 										美商高盛: -200328 										 										統一-台中: -3836 										 										統一-敦南: -7962 										 										中國信託-忠孝: -13829 										 										永豐金-中正: -1418 										 										國票-長城: -9904 										 										永豐金-板橋: -533 										 										富邦-板橋: -13105 										 										(牛牛牛)亞-網路: -3009 										 										(牛牛牛)亞-鑫豐: -8684 										 										台新-高雄: -20375 										 										富邦-台北: -28783 										 										中國信託-嘉義: -2891 										 										新光-新竹: -2797 										 										日盛-景美: -4753 										 										元大-竹科: -4558 										 										玉山-雙和: -2705 										 										凱基-大安: -82551","3","2","1"
"5608","四維航","426,009","兆豐-中壢: 1361 										 										玉山-城中: 1845 										 										統一-台中: 435140 										 										國票-長城: 11154 										 										富邦-板橋: 4004 										 										台新-高雄: 3374 										 										富邦-台北: 17616 										 										中國信託-嘉義: 425 										 										日盛-景美: 5108","美商高盛: -17209 										 										統一-敦南: -5333 										 										(牛牛牛)亞-網路: -1109 										 										(牛牛牛)亞-鑫豐: -5177 										 										摩根大通: -20902 										 										新光-新竹: -3118 										 										凱基-大安: -1170","-1","0","1"
"3034","聯詠","384,988","瑞士信貸: 153909 										 										港商麥格理: 97238 										 										摩根大通: 115186 										 										新加坡商瑞銀: 109677","兆豐-中壢: -512 										 										康和-澎湖: -516 										 										玉山-城中: -3667 										 										美商高盛: -16455 										 										統一-台中: -1546 										 										統一-敦南: -2582 										 										中國信託-忠孝: -8294 										 										永豐金-中正: -20858 										 										國票-長城: -2076 										 										永豐金-板橋: -999 										 										凱基-松山: -682 										 										(牛牛牛)亞-鑫豐: -4040 										 										台新-高雄: -2185 										 										中國信託-嘉義: -521 										 										台灣匯立證券: -7665 										 										兆豐-忠孝: -1035 										 										新光-新竹: -9447 										 										日盛-景美: -1545 										 										元大-竹科: -3764 										 										玉山-雙和: -1543 										 										凱基-大安: -1090","1","-3","1"
"2002","中鋼","308,530","兆豐-中壢: 248 										 										康和-澎湖: 463 										 										玉山-城中: 20847 										 										瑞士信貸: 90261 										 										統一-敦南: 2388 										 										中國信託-忠孝: 2095 										 										永豐金-中正: 1462 										 										國票-長城: 6932 										 										永豐金-板橋: 3230 										 										富邦-板橋: 4544 										 										凱基-松山: 3805 										 										台新-高雄: 4147 										 										摩根大通: 139357 										 										新加坡商瑞銀: 182330 										 										中國信託-嘉義: 2491 										 										兆豐-忠孝: 2439 										 										元大-竹科: 12207 										 										玉山-雙和: 2468","美商高盛: -106327 										 										(牛牛牛)亞-網路: -3139 										 										(牛牛牛)亞-鑫豐: -8814 										 										富邦-台北: -37378 										 										凱基-大安: -17526","3","-5","-1"
