"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"8046","南電","-766,975","兆豐-中壢: 714 										 										中國信託-忠孝: 5030 										 										永豐金-中正: 3648 										 										國票-長城: 2533 										 										永豐金-板橋: 1068 										 										富邦-板橋: 3931 										 										凱基-松山: 12430 										 										(牛牛牛)亞-鑫豐: 4675 										 										台新-高雄: 3879 										 										富邦-台北: 10972 										 										中國信託-嘉義: 720 										 										兆豐-忠孝: 1413 										 										新光-新竹: 2889 										 										元大-竹科: 2551 										 										玉山-雙和: 1249","玉山-城中: -21718 										 										美商高盛: -64827 										 										統一-台中: -4738 										 										瑞士信貸: -165215 										 										港商麥格理: -17209 										 										摩根大通: -264369 										 										新加坡商瑞銀: -278067 										 										日盛-景美: -7856 										 										凱基-大安: -678","-1","11","1"
"3014","聯陽","-616,660","兆豐-中壢: 780 										 										康和-澎湖: 390 										 										玉山-城中: 2772 										 										中國信託-忠孝: 1411 										 										永豐金-中正: 24202 										 										國票-長城: 4073 										 										永豐金-板橋: 4503 										 										富邦-板橋: 5425 										 										台新-高雄: 5580 										 										富邦-台北: 3397 										 										中國信託-嘉義: 1952 										 										兆豐-忠孝: 913 										 										新光-新竹: 3882 										 										玉山-雙和: 6163 										 										凱基-大安: 623","美商高盛: -30177 										 										統一-台中: -1420 										 										統一-敦南: -11710 										 										港商麥格理: -390 										 										凱基-松山: -408495 										 										(牛牛牛)亞-網路: -855 										 										摩根大通: -207163 										 										新加坡商瑞銀: -18410 										 										元大-竹科: -4106","-1","4","-1"
"3545","敦泰","-383,120","兆豐-中壢: 2221 										 										康和-澎湖: 2521 										 										中國信託-忠孝: 7386 										 										永豐金-中正: 45723 										 										永豐金-板橋: 13476 										 										富邦-板橋: 11425 										 										凱基-松山: 6051 										 										台新-高雄: 7235 										 										富邦-台北: 23049 										 										中國信託-嘉義: 1648 										 										新光-新竹: 21261 										 										元大-竹科: 8970 										 										玉山-雙和: 4507","玉山-城中: -6412 										 										美商高盛: -12019 										 										統一-台中: -20359 										 										瑞士信貸: -12712 										 										統一-敦南: -29773 										 										國票-長城: -4391 										 										摩根大通: -228665 										 										新加坡商瑞銀: -209777 										 										兆豐-忠孝: -10976 										 										日盛-景美: -2541 										 										凱基-大安: -968","-1","-1","-1"
"2614","東森","-370,013","兆豐-中壢: 199 										 										康和-澎湖: 627 										 										玉山-城中: 1877 										 										統一-台中: 781 										 										統一-敦南: 1764 										 										中國信託-忠孝: 2999 										 										永豐金-中正: 2230 										 										國票-長城: 720 										 										永豐金-板橋: 2195 										 										富邦-板橋: 2792 										 										(牛牛牛)亞-鑫豐: 4176 										 										台新-高雄: 8418 										 										富邦-台北: 6999 										 										兆豐-忠孝: 1576 										 										玉山-雙和: 829","凱基-松山: -405897 										 										元大-竹科: -2298","1","0","-1"
"2603","長榮","-366,708","康和-澎湖: 3420 										 										玉山-城中: 8684 										 										統一-台中: 6851 										 										瑞士信貸: 56432 										 										統一-敦南: 13938 										 										中國信託-忠孝: 48504 										 										永豐金-中正: 53917 										 										國票-長城: 5551 										 										凱基-松山: 16826 										 										(牛牛牛)亞-鑫豐: 2685 										 										台新-高雄: 5986 										 										富邦-台北: 102166 										 										新光-新竹: 22351 										 										日盛-景美: 13674 										 										玉山-雙和: 13807","兆豐-中壢: -2548 										 										美商高盛: -298316 										 										港商麥格理: -104102 										 										永豐金-板橋: -10813 										 										富邦-板橋: -1365 										 										(牛牛牛)亞-網路: -14954 										 										摩根大通: -95985 										 										新加坡商瑞銀: -88096 										 										中國信託-嘉義: -1254 										 										兆豐-忠孝: -11454 										 										元大-竹科: -109436 										 										凱基-大安: -3177","-2","-3","1"
"4958","臻鼎-KY","-365,792","美商高盛: 17260 										 										新加坡商瑞銀: 75697 										 										元大-竹科: 905","瑞士信貸: -422148 										 										港商麥格理: -31544 										 										永豐金-中正: -1175 										 										永豐金-板橋: -1176 										 										富邦-板橋: -2224 										 										玉山-雙和: -792 										 										凱基-大安: -595","-4","-4","3"
"3481","群創","-338,493","兆豐-中壢: 2490 										 										康和-澎湖: 2996 										 										玉山-城中: 8584 										 										統一-台中: 6400 										 										瑞士信貸: 76164 										 										統一-敦南: 11430 										 										中國信託-忠孝: 9602 										 										國票-長城: 56607 										 										永豐金-板橋: 6399 										 										富邦-板橋: 6670 										 										凱基-松山: 2886 										 										(牛牛牛)亞-網路: 1757 										 										(牛牛牛)亞-鑫豐: 7045 										 										台新-高雄: 30099 										 										摩根大通: 26606 										 										富邦-台北: 19468 										 										中國信託-嘉義: 3554 										 										新光-新竹: 50827 										 										日盛-景美: 5781 										 										元大-竹科: 5271 										 										玉山-雙和: 5306","美商高盛: -21204 										 										港商麥格理: -30136 										 										永豐金-中正: -105491 										 										新加坡商瑞銀: -525448 										 										兆豐-忠孝: -1134 										 										凱基-大安: -1022","-5","-3","-3"
"2357","華碩","-320,173","永豐金-中正: 1153 										 										凱基-松山: 1158 										 										摩根大通: 134779 										 										富邦-台北: 2348 										 										兆豐-忠孝: 1159 										 										日盛-景美: 1513","美商高盛: -113825 										 										瑞士信貸: -90429 										 										港商麥格理: -8488 										 										台新-高雄: -9671 										 										新加坡商瑞銀: -93631 										 										台灣匯立證券: -146239","-2","-4","3"
"3034","聯詠","-224,890","兆豐-中壢: 523 										 										港商麥格理: 519 										 										永豐金-板橋: 8320 										 										富邦-板橋: 2125 										 										(牛牛牛)亞-網路: 1488 										 										新加坡商瑞銀: 156458 										 										兆豐-忠孝: 1489 										 										新光-新竹: 4765 										 										元大-竹科: 1905 										 										凱基-大安: 512","康和-澎湖: -524 										 										玉山-城中: -8815 										 										美商高盛: -250229 										 										瑞士信貸: -33234 										 										中國信託-忠孝: -7000 										 										國票-長城: -3083 										 										凱基-松山: -7238 										 										(牛牛牛)亞-鑫豐: -2629 										 										摩根大通: -86996 										 										富邦-台北: -2434 										 										玉山-雙和: -812","-1","-1","-1"
"2401","凌陽","-195,866","兆豐-中壢: 281 										 										中國信託-忠孝: 1774 										 										永豐金-中正: 1300 										 										永豐金-板橋: 1120 										 										富邦-板橋: 1737 										 										(牛牛牛)亞-鑫豐: 1822 										 										台新-高雄: 1917 										 										富邦-台北: 5880 										 										日盛-景美: 1226 										 										玉山-雙和: 841","康和-澎湖: -16783 										 										美商高盛: -85902 										 										瑞士信貸: -35193 										 										國票-長城: -3310 										 										摩根大通: -71733 										 										兆豐-忠孝: -843","-1","1","-1"
